summonername,games_lost,loss_rate_percentage
아무고또모타쥬,6,5.66
"SANDBOX Dove",6,5.66
이승주,6,5.61
"무조건 도달한다",6,5.61
크리쳐fan,6,5.61
"SKT T1 Teddy곰",6,5.61
gtqeti294,6,5.51
" 황 시한",6,5.51
동물같이하지말자,6,5.51
"금천구 칼날주먹",6,5.51
"미드를 달리는 자",6,5.41
자신을탓하는사람,6,5.41
milizd,6,5.41
"KT Mia",6,5.41
"똑똑하게 노력 중",6,5.36
"Uidon Jung",6,5.36
"SKT T1 Crazy",6,5.31
Venus123,6,5.31
금똥왁왁,6,5.31
하나만잘키우자,6,5.26
"경고했을 텐데",6,5.26
"UOL Totoro",6,5.26
uglyOwO,6,5.26
feiwudaye,6,5.26
도와주러갈게,6,5.26
"SKT help me",6,5.26
안동푸른번개준현,6,5.22
"Fire Poker face",6,5.22
" 강강한한캬캬",6,5.22
Chasy,6,5.17
제정신이아닌꼬마,6,5.13
333XXX,6,5.13
Shadow2001,6,5.13
네게노,6,5.13
댕청잇,6,5.09
Schweigen,6,5.09
짜종나,6,5.04
GiaoGiaoGiaoi23,6,5.00
IIIIlllIIIlllII,6,5.00
"hi lira",6,4.96
cherryyyyy,6,4.96
Heart,6,4.92
"KZ Jinny A",6,4.92
"김 궁",6,4.92
GabrleICRO,6,4.88
"wanna be cvmax",6,4.88
"심심풀이 현우",6,4.84
"Mick Chan",6,4.76
"김철수씨 이야기",6,4.76
거성수도,6,4.76
"Ha Youn",6,4.76
FATE,6,4.72
"happy top player",6,4.72
MIDBUS999,6,4.69
MAKJANG,6,4.65
"jiang you ping",6,4.62
현우종관재권윤석,6,4.51
wugaosuei,6,4.41
최예나사생팬,6,4.38
gtqeti279,6,4.35
Skywalk18,6,4.32
IlllIllIIIIIll,6,4.29
킹자크지,6,4.26
나쁜말하면차단,6,4.26
TnToT,6,4.20
Lasfera,6,4.20
xxoxxoxxoxxoxx,6,4.20
디그다2,6,4.11
lczzzz,6,4.11
"JG SUP GAP",6,4.08
"가치 있는 상대",6,4.05
"i want to Alive",6,4.05
"Proof value",6,4.03
너와나의연결Gori,6,3.97
HotMyDog,6,3.80
3155,6,3.77
"Land of Glory",6,3.77
"신사 곽철용2",6,3.70
TopBoss77,6,3.68
liuasc,6,3.68
gtqeti255,6,3.66
캐리를하고싶다,6,3.66
백색말처럼,6,3.64
xiaoyibaby,6,3.64
wdpcity,6,3.59
이길꺼야,6,3.57
"문근혜 S2 박재인",6,3.53
겁없이카정,6,3.53
Tangwa1998,6,3.53
"러스트하실 분",6,3.51
"Heg   yyy",6,3.51
"세민용사 성공담",6,3.49
Apolosius,6,3.47
겨레누리글길,6,3.41
"여전히 그렇2",6,3.39
q792033253q,6,3.33
"Bravely Second",6,3.30
마티부터원딜함,6,3.28
프래드릭,6,3.24
겸손하게챌까지,6,3.09
aor1f,6,2.97
whscqngsnmyyssgb,6,2.70
"Wo xiang jia fen",6,2.31
"글로 얼른가윤",5,50.00
"뚀 랑",5,45.46
"쏭 츄",5,41.67
너의그램은,5,38.46
김곧뚜레,5,35.71
sjhwmhmsg,5,35.71
"joy x",5,35.71
스눈아,5,31.25
시간개념없는인간,5,29.41
떨어진돈내돈,5,27.78
"유튜브 건이야",5,26.32
갑자기분위기띠용,5,25.00
현울보,5,23.81
"너만 사랑하는 나",5,20.00
"RYL Cachalot",5,18.52
박지예1,5,17.86
Banos,5,17.86
qwerasdfgzxcvbn,5,17.24
멜로니,5,17.24
딸기치즈케이크,5,17.24
"SoloRank 1st",5,16.67
"야놀자 전속모델",5,16.13
만족할순없는거야,5,16.13
fffffffp,5,15.15
"중2병걸린 92년생",5,14.71
"짖어봐 개처럼",5,14.71
윤상e,5,14.29
gtqeti182,5,14.29
Dahlie,5,13.89
17tuoigaychan,5,13.51
알라크바르,5,13.51
멜랑콜리해,5,13.51
"람머스의 아버지",5,13.16
inu,5,13.16
"M1까지 서폿",5,13.16
유미모시는집사,5,12.82
레벨업중입니당,5,12.50
자체발광,5,12.20
"Thanks noob",5,12.20
2년동안칼바람,5,12.20
네가싫어싫어,5,11.91
xX지존태영Xx,5,11.91
"senan fan",5,11.63
Ar1es,5,11.63
리틀틀니스타,5,11.36
"소울 이터",5,11.36
"bwipo fan",5,11.36
H0R0,5,11.11
"만 필",5,11.11
"yang Hye Ji",5,11.11
"룰루 애완견",5,11.11
무랑님,5,11.11
낙성대삽니다,5,10.87
김진세,5,10.87
"Challenger Jug",5,10.87
"우 들",5,10.64
1851311,5,10.64
"승리 랭크",5,10.64
대웅머리,5,10.64
샷두지,5,10.42
민혁3,5,10.42
"시간의 숲",5,10.42
백남홀,5,10.00
민제야,5,10.00
Resolc,5,10.00
"Kimoji내 생각 ",5,10.00
너가바로박종우,5,9.80
"청주시 조동민",5,9.80
건드리면문다왈왈,5,9.62
pure트리,5,9.62
알파몽,5,9.62
강박꼼,5,9.62
"클리드 재끼든가",5,9.62
아찔하게,5,9.43
wohaopa,5,9.43
hanhan1,5,9.43
"보스 서폿",5,9.43
l학선생l,5,9.43
개미의진화,5,9.43
"Qingz Fans",5,9.43
"Follw your dream",5,9.43
국빱처럼든든하게,5,9.26
고자철,5,9.26
DoRunplsgohome,5,9.26
"화 찰",5,9.26
버프욕심짱많음,5,9.26
toinfinitybeyond,5,9.26
