gameId,gameDuration,gameMode,gameVersion
4232242673,2718,CLASSIC,10.6.313.8894
4232200699,1371,CLASSIC,10.6.313.8894
4232080526,1527,CLASSIC,10.6.313.8894
4231598145,1868,CLASSIC,10.6.313.8894
4230266081,1684,CLASSIC,10.6.313.2784
4230208526,1702,CLASSIC,10.6.313.2784
4229721654,1364,CLASSIC,10.6.313.2784
4228279942,1829,CLASSIC,10.6.313.2784
4227969696,1266,CLASSIC,10.6.313.2784
4227530167,980,CLASSIC,10.6.313.2784
4227430077,1357,CLASSIC,10.6.313.2784
4227265183,1665,CLASSIC,10.6.313.2784
4227058495,1501,CLASSIC,10.6.313.2784
4224988597,2153,CLASSIC,10.5.312.392
4224787553,1284,CLASSIC,10.5.312.392
4222928079,1050,CLASSIC,10.5.312.392
4222913538,1377,CLASSIC,10.5.312.392
4222871985,1500,CLASSIC,10.5.312.392
4222703051,2399,CLASSIC,10.5.312.392
4218502020,1423,CLASSIC,10.5.312.392
4218466693,1264,CLASSIC,10.5.312.392
4218420630,968,CLASSIC,10.5.312.392
4218331896,1408,CLASSIC,10.5.312.392
4218250379,1491,CLASSIC,10.5.312.392
4218098744,1492,CLASSIC,10.5.312.392
4217552064,1033,CLASSIC,10.5.312.392
4217420625,1537,CLASSIC,10.5.312.392
4217209852,1573,CLASSIC,10.5.312.392
4215971474,2396,CLASSIC,10.5.312.392
4215861925,1993,CLASSIC,10.5.312.392
4215529839,1214,CLASSIC,10.5.312.392
4214446303,1628,CLASSIC,10.5.312.392
4214366208,1415,CLASSIC,10.5.312.392
4214361102,1371,CLASSIC,10.5.312.392
4214305053,1421,CLASSIC,10.5.312.392
4213578403,1586,CLASSIC,10.5.312.392
4213532270,1581,CLASSIC,10.5.312.392
4213470313,1438,CLASSIC,10.5.312.392
4213391908,925,CLASSIC,10.5.312.392
4213255019,811,CLASSIC,10.5.312.392
4212926342,1363,CLASSIC,10.5.312.392
4211557534,1540,CLASSIC,10.5.312.392
4232573394,1886,CLASSIC,10.6.313.8894
4232492751,918,CLASSIC,10.6.313.8894
4227379588,1085,CLASSIC,10.6.313.2784
4222955290,1719,CLASSIC,10.5.312.392
4222901168,936,CLASSIC,10.5.312.392
4222855407,1541,CLASSIC,10.5.312.392
4220436726,1601,CLASSIC,10.5.312.392
4217740790,2041,CLASSIC,10.5.312.392
4217472738,972,CLASSIC,10.5.312.392
4216941024,1473,CLASSIC,10.5.312.392
